timestamp,flux_nA
2025-11-02T07:31:38.593,0.46
2025-11-02T07:31:39.098,0.46
2025-11-02T07:31:39.598,0.43
2025-11-02T07:31:40.096,0.46
2025-11-02T07:31:40.595,0.46
2025-11-02T07:31:41.105,0.43
2025-11-02T07:31:41.602,0.46
2025-11-02T07:31:42.099,0.46
2025-11-02T07:31:42.593,0.43
2025-11-02T07:31:43.091,0.45
2025-11-02T07:31:43.601,0.45
2025-11-02T07:31:44.097,0.45
2025-11-02T07:31:44.604,0.44
2025-11-02T07:31:45.109,0.43
2025-11-02T07:31:45.598,0.44
2025-11-02T07:31:46.126,0.45
2025-11-02T07:31:46.605,0.42
2025-11-02T07:31:47.110,0.46
2025-11-02T07:31:47.602,0.46
2025-11-02T07:31:48.112,0.47000000000000003
2025-11-02T07:31:48.614,0.42
2025-11-02T07:31:49.115,0.45
2025-11-02T07:31:49.624,0.41
2025-11-02T07:31:50.139,0.45
2025-11-02T07:31:50.637,0.43
2025-11-02T07:31:51.133,0.43
2025-11-02T07:31:51.631,0.44
2025-11-02T07:31:52.129,0.47000000000000003
2025-11-02T07:31:52.631,0.42
2025-11-02T07:31:53.134,0.44
2025-11-02T07:31:54.529,0.43
2025-11-02T07:31:54.647,0.43
2025-11-02T07:31:55.157,0.44
2025-11-02T07:31:55.672,0.43
2025-11-02T07:31:56.169,0.44
2025-11-02T07:31:56.680,0.43
2025-11-02T07:31:57.179,0.42
2025-11-02T07:31:57.693,0.41
2025-11-02T07:31:58.190,0.45
2025-11-02T07:31:58.707,0.45
2025-11-02T07:31:59.199,0.43
2025-11-02T07:31:59.696,0.4
2025-11-02T07:32:00.195,0.42
2025-11-02T07:32:00.700,0.42
2025-11-02T07:32:01.211,0.39
2025-11-02T07:32:01.714,0.42
2025-11-02T07:32:02.236,0.42
2025-11-02T07:32:02.722,0.42
2025-11-02T07:32:03.225,0.41
2025-11-02T07:32:03.721,0.38
2025-11-02T07:32:04.232,0.4
2025-11-02T07:32:04.724,0.4
2025-11-02T07:32:05.222,0.37
2025-11-02T07:32:05.732,0.37
